number,name,status
0001,PEP 1 – PEP Purpose and Guidelines,Active
0013,PEP 13 – Python Language Governance,Active
0160,PEP 160 – Python 1.6 Release Schedule,Final
0042,PEP 42 – Feature Requests,Withdrawn
0102,PEP 102 – Doing Python Micro Releases,Superseded
0101,PEP 101 – Doing Python Releases 101,Active
0020,PEP 20 – The Zen of Python,Active
0103,PEP 103 – Collecting information about git,Withdrawn
0100,PEP 100 – Python Unicode Integration,Final
0012,PEP 12 – Sample reStructuredText PEP Template,Active
0011,PEP 11 – CPython platform support,Active
0010,PEP 10 – Voting Guidelines,Active
0008,PEP 8 – Style Guide for Python Code,Active
0009,PEP 9 – Sample Plaintext PEP Template,Withdrawn
0007,PEP 7 – Style Guide for C Code,Active
8106,PEP 8106 – 2025 Term Steering Council election,Final
0006,PEP 6 – Bug Fix Releases,Superseded
8105,PEP 8105 – 2024 Term Steering Council election,Final
8104,PEP 8104 – 2023 Term Steering Council election,Final
8103,PEP 8103 – 2022 Term Steering Council election,Final
8102,PEP 8102 – 2021 Term Steering Council election,Final
8101,PEP 8101 – 2020 Term Steering Council election,Final
8100,PEP 8100 – January 2019 Steering Council election,Final
8015,PEP 8015 – Organization of the Python community,Rejected
8016,PEP 8016 – The Steering Council Model,Accepted
8011,PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,Rejected
8014,PEP 8014 – The Commons Governance Model,Rejected
8010,PEP 8010 – The Technical Leader Governance Model,Rejected
8013,PEP 8013 – The External Council Governance Model,Rejected
8012,PEP 8012 – The Community Governance Model,Rejected
8000,PEP 8000 – Python Language Governance Proposal Overview,Final
8001,PEP 8001 – Python Governance Voting Process,Final
8002,PEP 8002 – Open Source Governance Survey,Final
3152,PEP 3152 – Cofunctions,Rejected
3155,PEP 3155 – Qualified name for classes and functions,Final
3153,PEP 3153 – Asynchronous IO support,Superseded
3154,PEP 3154 – Pickle protocol version 4,Final
3151,PEP 3151 – Reworking the OS and IO exception hierarchy,Final
3333,PEP 3333 – Python Web Server Gateway Interface v1.0.1,Final
3156,PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3150,PEP 3150 – Statement local namespaces (aka “given” clause),Deferred
3149,PEP 3149 – ABI version tagged .so files,Final
3148,execute computations asynchronously,Final
3147,PEP 3147 – PYC Repository Directories,Final
3146,PEP 3146 – Merging Unladen Swallow into CPython,Withdrawn
3144,PEP 3144 – IP Address Manipulation Library for the Python Standard Library,Final
3143,PEP 3143 – Standard daemon process library,Deferred
3145,PEP 3145 – Asynchronous I/O For subprocess.Popen,Withdrawn
3142,PEP 3142 – Add a “while” clause to generator expressions,Rejected
3141,PEP 3141 – A Type Hierarchy for Numbers,Final
3140,"PEP 3140 – str(container) should call str(item), not repr(item)",Rejected
3139,PEP 3139 – Cleaning out sys and the “interpreter” module,Rejected
3136,PEP 3136 – Labeled break and continue,Rejected
3134,PEP 3134 – Exception Chaining and Embedded Tracebacks,Final
3137,PEP 3137 – Immutable Bytes and Mutable Buffer,Final
3135,PEP 3135 – New Super,Final
3133,PEP 3133 – Introducing Roles,Rejected
3132,PEP 3132 – Extended Iterable Unpacking,Final
3130,PEP 3130 – Access to Current Module/Class/Function,Rejected
3131,PEP 3131 – Supporting Non-ASCII Identifiers,Final
3129,PEP 3129 – Class Decorators,Final
3138,PEP 3138 – String representation in Python 3000,Final
3128,PEP 3128 – BList: A Faster List-like Type,Rejected
3126,PEP 3126 – Remove Implicit String Concatenation,Rejected
3127,PEP 3127 – Integer Literal Support and Syntax,Final
3125,PEP 3125 – Remove Backslash Continuation,Rejected
3124,"PEP 3124 – Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3123,PEP 3123 – Making PyObject_HEAD conform to standard C,Final
3122,PEP 3122 – Delineation of the main module,Rejected
3121,PEP 3121 – Extension Module Initialization and Finalization,Final
3120,PEP 3120 – Using UTF-8 as the default source encoding,Final
3117,PEP 3117 – Postfix type declarations,Rejected
3116,PEP 3116 – New I/O,Final
3115,PEP 3115 – Metaclasses in Python 3000,Final
3118,PEP 3118 – Revising the buffer protocol,Final
3113,PEP 3113 – Removal of Tuple Parameter Unpacking,Final
3111,PEP 3111 – Simple input built-in in Python 3000,Final
3114,PEP 3114 – Renaming iterator.next() to iterator.__next__(),Final
3112,PEP 3112 – Bytes literals in Python 3000,Final
3119,PEP 3119 – Introducing Abstract Base Classes,Final
3110,PEP 3110 – Catching Exceptions in Python 3000,Final
3109,PEP 3109 – Raising Exceptions in Python 3000,Final
3108,PEP 3108 – Standard Library Reorganization,Final
3102,PEP 3102 – Keyword-Only Arguments,Final
3105,PEP 3105 – Make print a function,Final
3103,PEP 3103 – A Switch/Case Statement,Rejected
3106,"PEP 3106 – Revamping dict.keys(), .values() and .items()",Final
3101,PEP 3101 – Advanced String Formatting,Final
3107,PEP 3107 – Function Annotations,Final
3104,PEP 3104 – Access to Names in Outer Scopes,Final
3100,PEP 3100 – Miscellaneous Python 3.0 Plans,Final
3099,PEP 3099 – Things that will Not Change in Python 3000,Final
3003,PEP 3003 – Python Language Moratorium,Final
3002,PEP 3002 – Procedure for Backwards-Incompatible Changes,Final
0801,PEP 801 – Reserved,Active
3001,PEP 3001 – Procedure for reviewing and improving standard library modules,Withdrawn
2026,PEP 2026 – Calendar versioning for Python,Rejected
3000,PEP 3000 – Python 3000,Final
0790,PEP 790 – Python 3.15 Release Schedule,Active
0792,PEP 792 – Project status markers in the simple index,Accepted
